Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Price,Freshwater withdrawals per kilogram,Land use per kilogram
Wheat & Rye (Bread),0.1,0,0.8,0.2,0.1,0.1,0.1,0.31,,
Maize (Meal),0.3,0,0.5,0.1,0.1,0.1,0,0.21,,
Barley (Beer),0,0,0.2,0.1,0,0.5,0.3,0.24,,
Oatmeal,0,0,1.4,0,0.1,0.1,0,0.35,482.4,7.6
Rice,0,0,3.6,0.1,0.1,0.1,0.1,3.62,2248.4,2.8
Potatoes,0,0,0.2,0,0.1,0,0,2.57,59.1,0.88
Cassava,0.6,0,0.2,0,0.1,0,0,1.19,0,1.81
Cane Sugar,1.2,0,0.5,0,0.8,0.1,0,0.42,620.1,2.04
Beet Sugar,0,0,0.5,0.2,0.6,0.1,0,0.42,217.7,1.83
Peas,0,0,0.7,0,0.1,0,0,0.93,396.6,7.46
Nuts,-2.1,0,2.1,0,0.1,0.1,0,7.44,4133.8,12.96
Groundnuts,0.4,0,1.4,0.4,0.1,0.1,0,1.09,1852.3,9.11
Soymilk,0.2,0,0.1,0.2,0.1,0.1,0.3,1.38,27.8,0.66
Tofu,1,0,0.5,0.8,0.2,0.2,0.3,5.5,,
Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,0.55,414.6,10.52
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,2.89,6.4,2.42
Sunflower Oil,0.1,0,2.1,0.2,0.2,0.9,0,1.35,1007.9,17.66
Rapeseed Oil,0.2,0,2.3,0.2,0.2,0.8,0,0.74,237.7,10.63
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,4.91,2141.8,26.31
Tomatoes,0.4,0,0.7,0,0.2,0.1,0,4.29,369.8,0.8
Onions & Leeks,0,0,0.2,0,0.1,0,0,1.71,14.3,0.39
Root Vegetables,0,0,0.2,0,0.1,0,0,1.94,28.4,0.33
Brassicas,0,0,0.3,0,0.1,0,0,0.67,119.4,0.55
Citrus Fruit,-0.1,0,0.3,0,0.1,0,0,1.47,82.7,0.86
Bananas,0,0,0.3,0.1,0.3,0.1,0,1.56,114.5,1.93
Apples,0,0,0.2,0,0.1,0,0,4.53,180.1,0.63
Berries & Grapes,0,0,0.7,0,0.2,0.2,0,3.31,419.6,2.41
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,4.12,78.9,1.78
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,5.11,25.9,21.62
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,4.67,540.6,68.96
Beef,16.3,1.9,39.4,1.3,0.3,0.2,0.2,4.67,1451.2,326.21
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,3.45,2714.3,43.24
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,3.14,1802.8,369.81
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,2.32,1795.8,17.36
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,0.95,660,12.22
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,12.46,628.2,8.95
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,1.97,5605.2,87.79
Fish (farmed),0.5,0.8,3.6,0,0.1,0.1,0,3.32,577.7,6.27
Shrimps (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,11.47,3691.3,8.41
